Frame,Visibility,X,Y
0,0,0,0
1,1,675,1041
2,1,677,1036
3,1,681,1032
4,1,683,1028
5,1,686,1024
6,1,689,1020
7,1,693,1017
8,1,695,1015
9,1,698,1012
10,1,702,1011
11,1,705,1009
12,1,708,1008
13,1,712,1007
14,1,715,1006
15,1,719,1006
16,1,723,1006
17,1,726,1007
18,1,730,1009
19,1,734,1010
20,1,738,1013
21,1,743,1017
22,1,747,1019
23,1,751,1025
24,1,756,1031
25,1,761,1037
26,1,766,1042
27,1,771,1048
28,1,767,1032
29,1,755,993
30,1,745,958
31,1,735,929
32,1,727,903
33,1,719,880
34,1,712,860
35,1,705,841
36,1,699,826
37,1,693,812
38,1,689,799
39,1,684,788
40,1,680,778
41,1,676,769
42,1,672,760
43,1,667,752
44,1,665,748
45,1,661,742
46,1,658,737
47,1,655,733
48,1,653,728
49,1,650,724
50,1,648,722
51,1,646,719
52,1,643,717
53,1,641,715
54,1,639,713
55,1,637,712
56,1,634,711
57,1,633,710
58,1,630,710
59,1,629,709
60,1,627,709
61,1,626,710
62,1,623,710
63,1,622,711
64,1,620,712
65,1,618,713
66,1,617,714
67,1,615,715
68,1,613,716
69,1,612,718
70,1,610,719
71,1,609,721
72,1,608,723
73,1,606,725
74,1,605,727
75,1,604,729
76,1,602,731
77,1,601,733
78,1,600,736
79,1,599,739
80,1,597,742
81,1,596,744
82,1,595,746
83,1,593,749
84,1,592,752
85,1,592,755
86,1,591,758
87,1,590,761
88,1,588,764
89,1,586,767
90,1,587,771
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,1,581,786
96,1,580,789
97,1,579,793
98,1,578,797
99,0,0,0
100,0,0,0
101,1,575,808
102,1,574,811
103,1,574,815
104,1,573,819
105,1,572,823
106,1,570,827
107,1,569,831
108,1,569,835
109,1,568,838
110,1,567,843
111,1,566,846
112,1,565,850
113,1,564,854
114,1,563,859
115,1,562,863
116,1,562,867
117,1,561,871
118,1,560,876
119,1,559,880
120,1,559,884
121,1,557,888
122,1,557,892
123,1,556,897
124,1,555,901
125,1,554,905
126,1,554,910
127,1,553,914
128,1,552,919
129,1,551,923
130,1,550,927
131,1,550,933
132,1,548,936
133,0,0,0
134,1,548,945
135,1,547,946
136,1,548,941
137,1,548,937
138,1,548,934
139,1,548,931
140,1,548,927
141,1,549,923
142,1,549,920
143,1,549,917
144,1,549,914
145,1,549,911
146,1,550,908
147,1,550,905
148,1,550,903
149,1,550,900
150,1,551,897
151,1,551,895
152,1,551,893
153,1,551,891
154,1,551,889
155,1,551,888
156,1,551,886
157,1,551,885
158,1,551,883
159,1,551,882
160,1,551,880
161,1,552,879
162,1,551,878
163,1,552,877
164,1,551,876
165,1,552,875
166,1,551,874
167,1,551,874
168,1,551,874
169,1,552,873
170,1,552,873
171,1,552,873
172,1,551,873
173,1,551,873
174,1,552,873
175,1,552,872
176,1,552,872
177,1,552,872
178,1,552,873
179,1,552,873
180,1,551,874
181,1,551,875
182,1,551,875
183,1,551,876
184,1,551,877
185,1,551,878
186,1,551,879
187,1,551,880
188,1,551,881
189,1,550,883
190,1,550,884
191,1,550,885
192,1,550,886
193,1,550,888
194,1,550,889
195,1,550,891
196,1,549,893
197,1,549,895
198,1,550,897
199,1,549,899
200,1,549,901
201,1,549,902
202,1,548,905
203,1,548,907
204,1,547,909
205,1,548,909
206,1,548,906
207,1,548,903
208,1,548,899
209,1,547,896
210,1,547,892
211,1,547,889
212,1,547,886
213,1,547,883
214,1,547,880
215,1,547,877
216,1,546,874
217,1,546,871
218,1,546,869
219,1,545,866
220,1,545,864
221,1,545,861
222,1,544,858
223,1,544,856
224,1,543,853
225,1,543,851
226,1,542,848
227,1,542,846
228,1,541,844
229,1,541,842
230,1,540,840
231,1,540,837
232,1,539,835
233,1,538,834
234,1,537,833
235,1,537,831
236,1,536,829
237,1,535,828
238,1,534,825
239,1,533,824
240,1,532,824
241,1,531,823
242,1,530,822
243,1,529,821
244,1,528,820
245,1,527,820
246,0,0,0
247,1,525,819
248,1,523,819
249,1,523,819
250,1,519,819
251,1,518,820
252,1,517,821
253,1,515,821
254,1,513,822
255,1,512,823
256,1,510,825
257,1,508,827
