Frame,Visibility,X,Y
0,1,589,800
1,1,589,803
2,1,590,806
3,1,591,807
4,1,592,809
5,1,594,811
6,1,593,815
7,1,593,817
8,1,594,820
9,1,594,823
10,1,594,826
11,1,595,829
12,1,595,832
13,1,595,835
14,1,596,838
15,1,596,841
16,1,596,844
17,1,596,848
18,1,597,851
19,1,597,855
20,1,597,858
21,1,597,861
22,1,598,865
23,1,598,868
24,1,598,872
25,1,598,876
26,1,598,880
27,1,598,883
28,1,599,887
29,1,599,891
30,1,599,895
31,1,599,899
32,1,599,902
33,1,599,907
34,1,600,910
35,1,600,915
36,1,600,918
37,1,600,922
38,1,600,926
39,1,600,931
40,1,600,934
41,1,600,939
42,0,0,0
43,1,600,948
44,1,600,952
45,1,601,954
46,1,601,950
47,1,602,946
48,0,0,0
49,1,604,935
50,1,604,935
51,1,605,931
52,1,606,928
53,1,606,925
54,1,607,922
55,1,607,918
56,1,608,915
57,1,608,912
58,1,608,910
59,1,609,907
60,1,610,905
61,1,611,903
62,1,611,901
63,1,612,899
64,1,612,897
65,1,613,895
66,1,613,894
67,1,614,892
68,1,614,891
69,1,614,890
70,1,615,889
71,1,615,888
72,1,616,886
73,1,616,885
74,1,616,885
75,1,617,884
76,1,617,883
77,1,617,883
78,1,618,882
79,1,618,882
80,1,618,882
81,1,619,882
82,1,619,882
83,1,619,882
84,1,619,882
85,1,620,883
86,1,620,883
87,1,620,883
88,1,620,884
89,1,620,884
90,1,621,885
91,1,621,885
92,1,621,886
93,1,621,887
94,1,622,888
95,1,622,890
96,1,622,890
97,1,622,887
98,1,622,884
99,1,623,880
100,1,624,876
101,1,624,873
102,1,624,870
103,1,625,866
104,1,625,863
105,1,626,859
106,1,627,856
107,1,627,852
108,1,627,849
109,1,627,846
110,1,628,843
111,1,628,840
112,1,628,836
113,1,628,833
114,1,629,830
115,1,629,827
116,1,630,824
117,1,629,822
118,1,630,819
119,1,629,815
120,1,629,813
121,1,631,810
122,1,630,806
123,0,0,0
124,0,0,0
125,1,631,799
126,1,631,797
127,1,631,796
128,1,631,793
129,1,631,791
130,1,631,788
131,1,631,786
132,1,631,784
133,1,631,780
134,1,631,780
135,1,631,779
136,1,631,779
137,1,631,776
138,1,631,771
139,1,631,776
140,1,629,773
141,1,630,773
142,1,628,769
143,1,628,769
144,1,628,769
145,1,628,769
146,1,627,769
147,1,627,769
148,1,626,770
149,1,626,770
150,1,626,770
151,1,626,770
152,1,624,772
153,1,625,772
154,0,0,0
155,0,0,0
156,1,620,777
157,1,620,778
158,1,620,780
159,1,618,782
160,1,616,786
161,1,613,786
162,1,613,791
163,1,613,796
164,1,610,798
165,1,609,802
166,1,609,808
167,1,606,814
168,1,603,820
169,1,601,826
170,1,600,832
171,1,598,840
172,1,596,848
173,1,594,856
174,1,591,865
175,1,588,875
176,1,586,886
177,1,582,897
178,1,580,910
179,1,577,923
180,1,572,937
181,1,569,953
182,1,565,969
183,1,561,987
184,1,557,1006
185,1,551,1027
186,1,546,1049
187,1,540,1074
188,1,535,1099
189,1,528,1127
190,1,521,1156
191,1,514,1190
192,1,506,1225
193,1,498,1263
194,1,491,1285
195,1,488,1274
196,1,485,1262
197,1,481,1250
198,1,478,1239
199,1,473,1227
200,1,470,1217
201,1,465,1204
202,1,460,1193
203,1,455,1180
204,1,450,1169
205,1,447,1151
206,1,460,1103
207,1,471,1063
208,1,481,1028
209,1,489,999
210,1,494,972
211,1,503,953
212,1,508,934
213,1,514,918
214,1,518,904
215,1,522,891
216,1,525,880
217,1,529,870
218,1,532,861
219,1,535,853
220,1,538,847
221,1,540,841
222,1,543,836
223,1,544,831
224,1,547,827
225,1,549,824
226,1,550,821
227,1,552,818
228,1,553,816
229,1,554,815
230,1,555,814
231,1,557,812
232,1,558,811
233,1,559,811
234,1,561,811
235,1,561,811
236,1,562,813
237,1,563,812
238,1,563,813
239,1,564,814
240,1,564,815
241,1,565,816
242,1,565,818
243,1,566,819
244,1,567,821
245,1,567,822
246,1,567,824
247,1,568,826
248,1,568,828
249,1,568,830
250,1,569,833
251,1,569,835
252,1,569,837
253,1,569,840
254,1,569,842
255,1,570,845
256,1,570,847
257,1,570,850
258,1,571,853
259,1,571,856
260,1,571,859
261,1,571,861
262,1,571,864
263,1,571,867
264,1,572,870
265,1,572,874
266,1,572,877
267,1,572,880
268,1,572,883
269,1,572,887
270,1,572,889
271,1,572,893
272,1,572,897
273,1,572,900
274,1,572,904
275,1,572,907
276,1,572,911
277,1,573,914
278,1,572,917
279,1,572,921
280,1,573,925
281,1,572,929
282,1,572,933
283,1,572,936
284,1,572,943
285,1,572,944
286,1,572,947
287,1,572,951
288,1,572,955
289,1,572,957
290,1,572,953
291,1,573,950
292,1,574,946
293,1,575,943
294,0,0,0
295,1,577,937
296,1,577,933
297,1,577,930
298,1,578,927
299,1,579,925
300,1,579,922
301,1,580,920
302,1,580,917
303,1,581,915
304,1,581,913
305,1,582,911
306,1,582,910
307,1,583,908
308,1,583,906
309,1,583,905
310,1,584,904
311,1,584,903
312,1,585,902
313,1,585,901
314,1,586,900
315,1,586,899
316,1,587,898
317,1,587,898
318,1,587,898
319,1,588,897
320,1,588,897
321,1,588,897
322,1,588,897
323,1,589,897
324,1,589,897
325,1,589,897
326,1,589,897
327,1,590,898
328,1,589,899
329,1,590,899
330,1,590,900
331,1,590,901
332,1,590,902
333,1,591,903
334,1,591,903
335,1,591,905
336,1,591,905
337,1,591,907
338,1,591,908
339,1,591,909
340,1,591,911
341,1,591,911
342,1,591,908
343,1,590,905
344,1,589,901
345,1,589,898
346,1,588,895
347,1,587,892
348,1,587,889
349,1,586,886
350,1,585,883
351,1,584,880
352,1,584,877
353,1,583,874
354,1,582,871
355,1,581,868
356,1,580,866
357,1,579,863
358,1,578,861
359,1,577,859
360,1,576,856
361,1,574,853
362,1,573,852
363,1,572,849
364,1,571,847
365,1,570,845
366,1,569,843
367,1,568,842
368,1,566,840
369,1,564,838
370,1,563,836
371,1,561,835
372,1,560,833
373,1,557,832
374,1,557,831
375,1,555,830
376,1,554,829
377,1,552,828
378,1,549,827
379,1,547,827
380,1,545,826
381,1,544,826
382,1,542,826
383,1,540,826
384,1,538,826
385,1,535,826
386,1,531,826
387,1,529,827
388,1,527,827
389,1,525,829
390,1,522,830
391,1,520,832
392,1,517,833
393,1,514,836
394,1,511,837
395,1,508,840
396,1,504,843
397,1,501,846
398,1,498,849
399,1,494,853
400,1,490,856
401,1,486,860
402,1,483,865
403,1,479,870
404,1,474,875
405,1,470,881
406,1,465,887
407,1,461,893
408,1,456,900
409,1,450,908
410,1,445,915
411,1,440,923
412,1,434,933
413,1,428,942
414,1,421,952
415,1,415,962
416,1,408,975
417,1,401,987
418,1,394,999
419,1,386,1013
420,1,378,1027
421,1,369,1044
422,1,361,1060
423,1,352,1077
424,1,342,1096
425,1,332,1116
426,1,326,1117
427,1,320,1108
428,1,315,1100
429,1,309,1092
430,1,304,1084
431,1,297,1077
432,1,290,1070
433,1,284,1062
434,1,277,1055
435,1,270,1048
436,1,261,1041
437,1,254,1033
438,1,245,1028
439,1,237,1021
440,1,228,1015
441,1,218,1009
442,1,209,1003
443,1,197,996
444,1,186,991
445,1,175,986
446,1,162,981
447,1,149,977
448,1,137,973
449,1,122,969
450,1,108,966
451,1,91,963
452,1,75,959
453,1,57,957
454,1,38,956
455,1,17,954
456,1,1,954
457,0,0,0
458,0,0,0
459,0,0,0
460,0,0,0
461,0,0,0
462,0,0,0
463,0,0,0
464,0,0,0
465,0,0,0
466,0,0,0
467,0,0,0
468,0,0,0
469,1,43,864
470,1,91,845
471,1,133,830
472,1,169,818
473,1,200,808
474,1,228,799
475,1,251,792
476,1,274,786
477,1,292,780
478,1,309,777
479,1,324,772
480,1,339,770
481,1,352,768
482,1,363,767
483,1,374,765
484,1,384,765
485,1,393,760
486,1,402,764
487,1,409,764
488,1,416,765
489,1,422,766
490,1,429,766
491,1,434,767
492,1,440,772
493,1,444,772
494,1,449,773
495,1,454,773
496,1,459,776
497,1,462,779
498,1,465,782
499,1,469,784
500,1,472,786
501,1,475,789
502,1,479,792
503,1,482,795
504,1,484,797
505,1,486,800
506,1,489,803
507,1,490,806
508,1,493,809
509,1,495,813
510,1,496,815
511,1,498,819
512,1,500,822
513,1,501,826
514,1,503,829
515,1,504,833
516,1,505,835
517,1,506,839
518,1,508,842
519,1,509,846
520,1,510,849
521,1,511,854
522,1,512,858
523,1,513,861
524,1,515,864
525,1,514,868
526,1,515,871
527,1,516,876
528,1,517,880
529,1,517,883
530,1,518,887
531,1,518,891
532,1,519,894
533,1,520,899
534,1,520,902
535,1,520,906
536,1,521,910
537,1,521,914
538,1,522,918
539,1,522,922
540,1,522,926
541,1,523,929
542,1,523,934
543,1,523,938
544,1,523,941
545,1,523,946
546,1,524,953
547,1,524,953
548,1,525,949
549,1,526,945
550,1,526,940
551,0,0,0
552,1,529,933
553,1,530,930
554,1,530,926
555,1,531,923
556,1,532,920
557,1,532,918
558,1,533,915
559,1,534,912
560,1,534,910
561,1,535,907
562,1,536,905
563,1,537,903
564,1,537,901
565,1,538,899
566,1,539,897
567,1,539,896
568,1,539,894
569,1,540,893
570,1,541,892
571,1,541,891
572,1,542,890
573,1,542,889
574,1,543,888
575,1,543,888
576,1,544,887
577,1,544,887
578,1,545,886
579,1,545,886
580,1,545,886
581,1,545,886
582,1,546,886
583,1,546,886
584,1,547,886
585,1,547,886
586,1,547,887
587,1,547,887
588,1,548,888
589,1,548,889
590,1,548,889
591,1,549,890
592,1,549,891
593,1,549,892
594,1,550,893
595,1,550,894
596,1,550,895
597,1,550,897
598,1,550,893
599,1,550,889
600,1,551,885
601,1,551,881
602,1,551,877
603,1,551,873
604,1,551,870
605,1,551,866
606,1,551,862
607,1,551,859
608,1,551,855
609,1,551,852
610,1,551,848
611,1,551,844
612,1,551,842
613,1,551,837
614,1,551,835
615,1,551,832
616,1,550,828
617,1,550,825
618,1,550,822
619,1,550,819
620,1,550,816
621,1,549,813
622,1,549,810
623,1,549,807
624,1,549,805
625,1,549,802
626,1,549,799
627,1,548,797
628,1,548,794
629,1,547,792
630,1,547,790
631,1,546,786
632,1,546,786
633,1,546,783
634,1,546,782
635,1,545,780
636,1,545,778
637,1,545,778
638,1,542,774
639,1,544,774
640,1,542,773
641,1,542,773
642,1,541,769
643,1,541,769
644,1,538,767
645,1,539,767
646,1,538,767
647,0,0,0
648,0,0,0
649,0,0,0
650,0,0,0
651,0,0,0
652,0,0,0
653,0,0,0
654,1,529,769
655,1,529,769
656,1,529,769
657,1,527,771
658,1,526,773
659,1,525,773
660,1,524,776
661,1,523,780
662,1,521,781
663,1,520,784
664,1,518,787
665,1,517,791
666,1,516,795
667,1,513,798
668,1,511,803
669,1,510,808
670,1,508,814
671,1,505,820
672,1,504,825
673,1,501,833
674,1,499,839
675,1,497,847
676,1,494,855
677,1,492,863
678,1,489,873
679,1,486,882
680,1,483,893
681,1,480,904
682,1,478,915
683,1,474,927
684,1,470,941
685,1,467,955
686,1,463,970
687,1,459,985
688,1,455,1001
689,1,451,1019
690,1,447,1038
691,1,441,1059
692,1,437,1078
693,1,432,1100
694,1,427,1124
695,0,0,0
696,0,0,0
697,0,0,0
698,0,0,0
699,0,0,0
700,1,408,1129
701,1,405,1119
702,1,403,1109
703,1,401,1099
704,1,398,1089
705,1,396,1079
706,1,392,1070
707,1,391,1059
708,1,388,1050
709,1,384,1040
710,1,381,1031
711,1,378,1023
712,1,374,1011
713,1,369,1004
714,1,365,995
715,1,360,986
716,1,356,977
717,1,351,969
718,1,345,961
719,1,341,954
720,1,334,946
721,1,328,939
722,1,321,932
723,1,316,926
724,1,307,920
725,1,299,913
726,1,290,909
727,1,280,903
728,1,271,900
729,1,259,895
730,1,248,894
731,1,234,891
732,1,222,890
733,1,206,890
734,1,191,892
735,1,173,894
736,1,154,900
737,1,154,900
738,1,132,902
739,1,108,915
740,1,82,921
741,1,52,937
742,1,17,952
743,1,115,909
744,1,198,873
745,1,255,847
746,1,301,829
747,1,337,816
748,1,365,806
749,1,389,798
750,1,408,792
751,1,424,789
752,1,438,785
753,1,450,783
754,1,460,780
755,1,469,780
756,1,477,780
757,1,484,780
758,1,491,780
759,1,496,782
760,1,500,783
761,1,505,783
762,1,508,785
763,1,513,787
764,1,516,789
765,1,519,790
766,1,522,793
767,1,524,796
768,1,527,797
769,1,529,800
770,1,531,801
771,1,533,804
772,1,534,807
773,1,536,811
774,1,537,813
775,1,538,817
776,1,540,819
777,1,540,822
778,1,542,825
779,1,542,829
780,1,543,831
781,1,544,835
782,1,545,838
783,1,545,842
784,1,545,845
785,1,545,848
786,1,546,852
787,1,546,855
788,1,547,858
789,1,547,863
790,1,547,866
791,1,547,869
792,1,547,873
793,1,548,876
794,1,548,880
795,1,548,884
796,1,548,887
797,1,548,891
798,1,548,895
799,1,548,899
800,1,548,902
801,1,548,906
802,1,548,909
803,1,548,913
804,1,547,917
805,1,547,921
806,1,547,925
807,1,547,929
808,1,546,933
809,0,0,0
810,1,546,940
811,1,546,945
812,1,546,948
813,1,546,952
814,1,546,956
815,1,545,960
816,1,545,958
817,1,546,953
818,1,546,949
819,1,547,945
820,1,547,942
821,0,0,0
822,1,548,935
823,1,548,931
824,1,549,929
825,1,549,926
826,1,550,924
827,1,550,920
828,1,550,918
829,1,551,916
830,1,551,914
831,1,551,911
832,1,552,910
833,1,552,908
834,1,553,907
835,1,552,906
836,1,553,904
837,1,553,903
838,1,553,902
839,1,553,901
840,1,553,900
841,1,553,899
842,1,553,898
843,1,553,897
844,1,553,897
845,1,553,897
846,1,553,897
847,1,553,897
848,1,554,897
849,1,554,897
850,1,554,897
851,1,554,897
852,1,554,898
853,1,554,898
854,1,554,899
855,1,554,899
856,1,554,900
857,1,554,901
858,1,554,902
859,1,554,903
860,1,554,904
861,1,554,905
862,1,554,906
863,1,554,908
864,1,554,909
865,1,554,910
866,1,554,912
867,1,554,913
868,1,553,915
869,1,553,917
870,1,553,917
871,1,553,913
872,1,553,910
873,1,552,907
874,1,552,904
875,1,552,901
876,1,551,898
877,1,551,895
878,1,551,892
879,1,550,890
880,1,550,887
881,1,550,884
882,1,549,881
883,1,549,880
884,1,548,877
885,1,548,874
886,1,547,872
887,1,547,870
888,1,546,867
889,1,546,866
890,1,545,863
891,1,544,861
892,1,543,859
893,1,542,857
894,1,542,856
895,1,541,854
896,1,541,852
897,1,540,851
898,1,539,849
899,1,538,848
900,1,537,847
