Frame,Visibility,X,Y
0,1,958,420
1,0,0,0
2,0,0,0
3,0,0,0
4,1,966,402
5,1,969,398
6,1,970,394
7,1,972,393
8,1,974,393
9,1,975,392
10,1,975,380
11,1,977,390
12,1,978,391
13,1,978,391
14,1,980,392
15,1,981,394
16,1,981,395
17,1,982,397
18,1,983,399
19,1,984,400
20,1,984,404
21,1,986,406
22,0,0,0
23,1,986,411
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,989,434
31,1,990,435
32,1,990,441
33,1,991,445
34,1,991,446
35,1,991,452
36,1,992,456
37,1,992,458
38,1,992,464
39,1,992,468
40,1,992,470
41,1,993,476
42,1,993,480
43,1,993,482
44,1,993,489
45,1,993,493
46,1,993,496
47,1,994,502
48,0,0,0
49,1,994,507
50,1,995,501
51,1,995,498
52,1,995,496
53,1,996,492
54,1,996,489
55,1,997,488
56,1,997,484
57,1,998,482
58,1,998,481
59,1,998,478
60,1,999,477
61,1,999,476
62,1,999,475
63,1,999,474
64,1,999,474
65,1,1000,473
66,1,1000,473
67,1,1000,473
68,1,1001,473
69,1,1001,473
70,1,1001,473
71,1,1001,474
72,1,1001,475
73,1,1001,476
74,1,1002,477
75,1,1002,479
76,1,1002,479
77,1,1001,477
78,1,1000,474
79,1,999,472
80,1,998,467
81,1,996,465
82,1,996,463
83,1,994,459
84,1,993,457
85,1,992,456
86,1,990,453
87,1,989,451
88,1,988,450
89,1,986,448
90,1,985,447
91,1,984,446
92,1,982,446
93,1,980,446
94,1,980,446
95,1,977,446
96,1,975,447
97,1,974,447
98,1,972,449
99,1,970,451
100,1,968,452
101,1,966,456
102,1,963,459
103,1,962,462
104,1,959,468
105,1,956,473
106,1,955,476
107,1,951,484
108,1,948,491
109,1,947,495
110,1,942,507
111,1,939,516
112,1,938,521
113,1,932,536
114,1,929,548
115,1,927,552
116,1,923,542
117,1,921,536
118,1,920,533
119,1,916,524
120,1,913,518
121,1,912,516
122,1,907,508
123,1,903,504
124,1,902,502
125,1,896,496
126,1,893,493
127,1,890,492
128,1,883,488
129,1,879,487
130,1,876,486
131,1,868,486
132,1,863,486
133,1,860,487
134,1,850,490
135,1,844,494
136,1,841,496
137,1,828,503
138,1,820,511
139,1,816,515
140,1,802,528
141,1,792,541
142,1,786,547
143,1,813,505
144,1,830,481
145,1,837,471
146,1,856,445
147,1,867,431
148,1,872,425
149,1,885,410
150,1,893,402
151,1,897,401
152,1,906,392
