Frame,Visibility,X,Y
0,1,302,420
1,0,0,0
2,0,0,0
3,0,0,0
4,1,310,402
5,1,313,398
6,1,314,394
7,1,316,393
8,1,318,393
9,1,319,392
10,1,319,380
11,1,321,390
12,1,322,391
13,1,322,391
14,1,324,392
15,1,325,394
16,1,325,395
17,1,326,397
18,1,327,399
19,1,328,400
20,1,328,404
21,1,330,406
22,0,0,0
23,1,330,411
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,1,333,434
31,1,334,435
32,1,334,441
33,1,335,445
34,1,335,446
35,1,335,452
36,1,336,456
37,1,336,458
38,1,336,464
39,1,336,468
40,1,336,470
41,1,337,476
42,1,337,480
43,1,337,482
44,1,337,489
45,1,337,493
46,1,337,496
47,1,338,502
48,0,0,0
49,1,338,507
50,1,339,501
51,1,339,498
52,1,339,496
53,1,340,492
54,1,340,489
55,1,341,488
56,1,341,484
57,1,342,482
58,1,342,481
59,1,342,478
60,1,343,477
61,1,343,476
62,1,343,475
63,1,343,474
64,1,343,474
65,1,344,473
66,1,344,473
67,1,344,473
68,1,345,473
69,1,345,473
70,1,345,473
71,1,345,474
72,1,345,475
73,1,345,476
74,1,346,477
75,1,346,479
76,1,346,479
77,1,345,477
78,1,344,474
79,1,343,472
80,1,342,467
81,1,340,465
82,1,340,463
83,1,338,459
84,1,337,457
85,1,336,456
86,1,334,453
87,1,333,451
88,1,332,450
89,1,330,448
90,1,329,447
91,1,328,446
92,1,326,446
93,1,324,446
94,1,324,446
95,1,321,446
96,1,319,447
97,1,318,447
98,1,316,449
99,1,314,451
100,1,312,452
101,1,310,456
102,1,307,459
103,1,306,462
104,1,303,468
105,1,300,473
106,1,299,476
107,1,295,484
108,1,292,491
109,1,291,495
110,1,286,507
111,1,283,516
112,1,282,521
113,1,276,536
114,1,273,548
115,1,271,552
116,1,267,542
117,1,265,536
118,1,264,533
119,1,260,524
120,1,257,518
121,1,256,516
122,1,251,508
123,1,247,504
124,1,246,502
125,1,240,496
126,1,237,493
127,1,234,492
128,1,227,488
129,1,223,487
130,1,220,486
131,1,212,486
132,1,207,486
133,1,204,487
134,1,194,490
135,1,188,494
136,1,185,496
137,1,172,503
138,1,164,511
139,1,160,515
140,1,146,528
141,1,136,541
142,1,130,547
143,1,157,505
144,1,174,481
145,1,181,471
146,1,200,445
147,1,211,431
148,1,216,425
149,1,229,410
150,1,237,402
151,1,241,401
152,1,250,392
153,1,256,388
154,1,259,386
155,1,266,383
156,1,270,381
157,1,273,381
158,1,278,379
159,1,282,379
160,1,283,380
161,1,288,381
162,1,291,382
163,1,292,383
164,1,296,385
165,1,298,387
166,1,300,388
167,1,303,392
168,1,305,395
169,1,306,396
170,1,308,400
171,1,310,404
172,0,0,0
173,1,313,410
174,1,314,414
175,1,315,416
176,1,317,422
177,1,318,426
178,1,319,428
179,1,320,434
180,1,321,439
181,1,322,441
182,1,323,448
183,1,324,452
184,1,325,455
185,1,326,462
186,1,327,467
187,1,327,469
188,1,328,477
189,1,329,482
190,1,329,486
191,1,330,491
192,1,330,496
193,1,331,499
194,1,332,507
195,1,332,507
196,1,332,505
197,1,334,498
198,1,335,494
199,1,335,492
200,1,336,487
201,1,337,484
202,1,337,483
203,1,338,479
204,1,338,476
205,1,339,475
206,1,340,472
207,1,340,471
208,1,340,470
209,1,341,468
210,1,342,467
211,1,342,467
212,1,342,466
213,1,343,466
214,1,343,465
215,1,343,466
216,1,344,466
217,1,344,466
218,1,344,467
219,1,345,467
220,1,345,468
221,1,345,470
222,1,345,471
223,1,346,472
224,1,346,475
225,1,346,476
226,1,346,478
227,1,347,480
228,1,347,482
229,1,347,483
230,1,346,478
231,1,346,474
232,1,346,472
233,1,346,467
234,1,346,464
235,1,346,463
236,1,345,458
237,1,345,455
238,1,345,454
239,1,345,450
240,1,345,448
241,1,345,447
242,1,345,444
243,1,345,443
244,1,345,442
245,1,345,440
246,1,345,439
247,1,345,439
248,1,345,439
249,1,345,439
250,1,345,439
251,1,345,441
252,1,346,442
253,1,346,443
254,1,346,446
255,1,346,449
256,1,346,450
257,1,347,456
258,1,347,461
259,1,347,464
260,1,348,473
261,1,348,480
262,1,348,483
263,1,349,496
264,1,349,506
265,1,349,511
266,1,350,529
267,1,351,542
268,1,351,550
269,1,352,575
270,1,352,584
271,1,353,580
272,1,355,570
273,1,357,563
274,1,358,560
275,1,360,550
276,1,362,545
277,1,363,542
278,1,366,535
279,1,368,530
280,1,369,528
281,1,372,522
282,1,375,521
283,1,376,520
284,1,375,504
285,1,369,488
286,1,368,481
287,1,363,466
288,1,361,460
289,1,360,457
290,1,358,451
291,1,357,448
292,1,356,447
293,1,355,445
294,1,355,444
295,1,354,444
296,1,353,445
297,1,353,445
298,1,353,446
299,1,353,448
300,1,353,450
301,1,353,451
302,1,353,454
303,1,353,456
304,1,353,457
305,1,353,461
306,1,353,464
307,1,353,465
308,1,353,470
